hb,sex,age,year,population
S08000015,All,0-9 years,2017,38393
S08000015,All,0-9 years,2018,37910
S08000015,All,0-9 years,2019,37071
S08000015,All,0-9 years,2020,36382
S08000015,All,0-9 years,2021,35440
S08000015,All,10-19 years,2017,39508
S08000015,All,10-19 years,2018,39072
S08000015,All,10-19 years,2019,39233
S08000015,All,10-19 years,2020,39297
S08000015,All,10-19 years,2021,39758
S08000015,All,20-29 years,2017,41492
S08000015,All,20-29 years,2018,41207
S08000015,All,20-29 years,2019,40802
S08000015,All,20-29 years,2020,40331
S08000015,All,20-29 years,2021,40010
S08000015,All,30-39 years,2017,39152
S08000015,All,30-39 years,2018,39687
S08000015,All,30-39 years,2019,39991
S08000015,All,30-39 years,2020,39840
S08000015,All,30-39 years,2021,40409
S08000015,All,40-49 years,2017,47663
S08000015,All,40-49 years,2018,45770
S08000015,All,40-49 years,2019,44251
S08000015,All,40-49 years,2020,43041
S08000015,All,40-49 years,2021,42118
S08000015,All,50-59 years,2017,57221
S08000015,All,50-59 years,2018,57512
S08000015,All,50-59 years,2019,57455
S08000015,All,50-59 years,2020,57269
S08000015,All,50-59 years,2021,57258
S08000015,All,60-69 years,2017,49771
S08000015,All,60-69 years,2018,49829
S08000015,All,60-69 years,2019,50281
S08000015,All,60-69 years,2020,50794
S08000015,All,60-69 years,2021,51797
S08000015,All,70-79 years,2017,37056
S08000015,All,70-79 years,2018,38232
S08000015,All,70-79 years,2019,39347
S08000015,All,70-79 years,2020,39896
S08000015,All,70-79 years,2021,40640
S08000015,All,80-89 years,2017,16937
S08000015,All,80-89 years,2018,17188
S08000015,All,80-89 years,2019,17563
S08000015,All,80-89 years,2020,17880
S08000015,All,80-89 years,2021,17921
S08000015,All,90 years and over,2017,3217
S08000015,All,90 years and over,2018,3263
S08000015,All,90 years and over,2019,3366
S08000015,All,90 years and over,2020,3260
S08000015,All,90 years and over,2021,3339
S08000015,All,All ages,2017,370410
S08000015,All,All ages,2018,369670
S08000015,All,All ages,2019,369360
S08000015,All,All ages,2020,367990
S08000015,All,All ages,2021,368690
S08000015,Female,0-9 years,2017,18684
S08000015,Female,0-9 years,2018,18448
S08000015,Female,0-9 years,2019,17975
S08000015,Female,0-9 years,2020,17715
S08000015,Female,0-9 years,2021,17209
S08000015,Female,10-19 years,2017,19353
S08000015,Female,10-19 years,2018,19165
S08000015,Female,10-19 years,2019,19305
S08000015,Female,10-19 years,2020,19331
S08000015,Female,10-19 years,2021,19579
S08000015,Female,20-29 years,2017,20623
S08000015,Female,20-29 years,2018,20363
S08000015,Female,20-29 years,2019,20087
S08000015,Female,20-29 years,2020,19733
S08000015,Female,20-29 years,2021,19581
S08000015,Female,30-39 years,2017,20741
S08000015,Female,30-39 years,2018,21055
S08000015,Female,30-39 years,2019,21222
S08000015,Female,30-39 years,2020,21098
S08000015,Female,30-39 years,2021,21322
S08000015,Female,40-49 years,2017,25353
S08000015,Female,40-49 years,2018,24373
S08000015,Female,40-49 years,2019,23553
S08000015,Female,40-49 years,2020,22858
S08000015,Female,40-49 years,2021,22375
S08000015,Female,50-59 years,2017,29947
S08000015,Female,50-59 years,2018,30169
S08000015,Female,50-59 years,2019,30281
S08000015,Female,50-59 years,2020,30318
S08000015,Female,50-59 years,2021,30448
S08000015,Female,60-69 years,2017,25890
S08000015,Female,60-69 years,2018,25951
S08000015,Female,60-69 years,2019,26161
S08000015,Female,60-69 years,2020,26537
S08000015,Female,60-69 years,2021,27086
S08000015,Female,70-79 years,2017,19897
S08000015,Female,70-79 years,2018,20509
S08000015,Female,70-79 years,2019,21113
S08000015,Female,70-79 years,2020,21322
S08000015,Female,70-79 years,2021,21676
S08000015,Female,80-89 years,2017,10043
S08000015,Female,80-89 years,2018,10119
S08000015,Female,80-89 years,2019,10246
S08000015,Female,80-89 years,2020,10391
S08000015,Female,80-89 years,2021,10448
S08000015,Female,90 years and over,2017,2269
S08000015,Female,90 years and over,2018,2302
S08000015,Female,90 years and over,2019,2368
S08000015,Female,90 years and over,2020,2286
S08000015,Female,90 years and over,2021,2290
S08000015,Female,All ages,2017,192800
S08000015,Female,All ages,2018,192454
S08000015,Female,All ages,2019,192311
S08000015,Female,All ages,2020,191589
S08000015,Female,All ages,2021,192014
S08000015,Male,0-9 years,2017,19709
S08000015,Male,0-9 years,2018,19462
S08000015,Male,0-9 years,2019,19096
S08000015,Male,0-9 years,2020,18667
S08000015,Male,0-9 years,2021,18231
S08000015,Male,10-19 years,2017,20155
S08000015,Male,10-19 years,2018,19907
S08000015,Male,10-19 years,2019,19928
S08000015,Male,10-19 years,2020,19966
S08000015,Male,10-19 years,2021,20179
S08000015,Male,20-29 years,2017,20869
S08000015,Male,20-29 years,2018,20844
S08000015,Male,20-29 years,2019,20715
S08000015,Male,20-29 years,2020,20598
S08000015,Male,20-29 years,2021,20429
S08000015,Male,30-39 years,2017,18411
S08000015,Male,30-39 years,2018,18632
S08000015,Male,30-39 years,2019,18769
S08000015,Male,30-39 years,2020,18742
S08000015,Male,30-39 years,2021,19087
S08000015,Male,40-49 years,2017,22310
S08000015,Male,40-49 years,2018,21397
S08000015,Male,40-49 years,2019,20698
S08000015,Male,40-49 years,2020,20183
S08000015,Male,40-49 years,2021,19743
S08000015,Male,50-59 years,2017,27274
S08000015,Male,50-59 years,2018,27343
S08000015,Male,50-59 years,2019,27174
S08000015,Male,50-59 years,2020,26951
S08000015,Male,50-59 years,2021,26810
S08000015,Male,60-69 years,2017,23881
S08000015,Male,60-69 years,2018,23878
S08000015,Male,60-69 years,2019,24120
S08000015,Male,60-69 years,2020,24257
S08000015,Male,60-69 years,2021,24711
S08000015,Male,70-79 years,2017,17159
S08000015,Male,70-79 years,2018,17723
S08000015,Male,70-79 years,2019,18234
S08000015,Male,70-79 years,2020,18574
S08000015,Male,70-79 years,2021,18964
S08000015,Male,80-89 years,2017,6894
S08000015,Male,80-89 years,2018,7069
S08000015,Male,80-89 years,2019,7317
S08000015,Male,80-89 years,2020,7489
S08000015,Male,80-89 years,2021,7473
S08000015,Male,90 years and over,2017,948
S08000015,Male,90 years and over,2018,961
S08000015,Male,90 years and over,2019,998
S08000015,Male,90 years and over,2020,974
S08000015,Male,90 years and over,2021,1049
S08000015,Male,All ages,2017,177610
S08000015,Male,All ages,2018,177216
S08000015,Male,All ages,2019,177049
S08000015,Male,All ages,2020,176401
S08000015,Male,All ages,2021,176676
S08000016,All,0-9 years,2017,11764
S08000016,All,0-9 years,2018,11691
S08000016,All,0-9 years,2019,11548
S08000016,All,0-9 years,2020,11351
S08000016,All,0-9 years,2021,11178
S08000016,All,10-19 years,2017,11997
S08000016,All,10-19 years,2018,12040
S08000016,All,10-19 years,2019,12054
S08000016,All,10-19 years,2020,12012
S08000016,All,10-19 years,2021,12223
S08000016,All,20-29 years,2017,10722
S08000016,All,20-29 years,2018,10731
S08000016,All,20-29 years,2019,10743
S08000016,All,20-29 years,2020,10705
S08000016,All,20-29 years,2021,10737
S08000016,All,30-39 years,2017,10867
S08000016,All,30-39 years,2018,11107
S08000016,All,30-39 years,2019,11173
S08000016,All,30-39 years,2020,11068
S08000016,All,30-39 years,2021,11240
S08000016,All,40-49 years,2017,15096
S08000016,All,40-49 years,2018,14360
S08000016,All,40-49 years,2019,13816
S08000016,All,40-49 years,2020,13502
S08000016,All,40-49 years,2021,13148
S08000016,All,50-59 years,2017,18511
S08000016,All,50-59 years,2018,18699
S08000016,All,50-59 years,2019,18761
S08000016,All,50-59 years,2020,18617
S08000016,All,50-59 years,2021,18682
S08000016,All,60-69 years,2017,16640
S08000016,All,60-69 years,2018,16617
S08000016,All,60-69 years,2019,16808
S08000016,All,60-69 years,2020,16917
S08000016,All,60-69 years,2021,17286
S08000016,All,70-79 years,2017,12595
S08000016,All,70-79 years,2018,13083
S08000016,All,70-79 years,2019,13465
S08000016,All,70-79 years,2020,13747
S08000016,All,70-79 years,2021,14117
S08000016,All,80-89 years,2017,5770
S08000016,All,80-89 years,2018,5918
S08000016,All,80-89 years,2019,6092
S08000016,All,80-89 years,2020,6268
S08000016,All,80-89 years,2021,6288
S08000016,All,90 years and over,2017,1058
S08000016,All,90 years and over,2018,1024
S08000016,All,90 years and over,2019,1050
S08000016,All,90 years and over,2020,1053
S08000016,All,90 years and over,2021,1121
S08000016,All,All ages,2017,115020
S08000016,All,All ages,2018,115270
S08000016,All,All ages,2019,115510
S08000016,All,All ages,2020,115240
S08000016,All,All ages,2021,116020
S08000016,Female,0-9 years,2017,5819
S08000016,Female,0-9 years,2018,5698
S08000016,Female,0-9 years,2019,5620
S08000016,Female,0-9 years,2020,5478
S08000016,Female,0-9 years,2021,5409
S08000016,Female,10-19 years,2017,5892
S08000016,Female,10-19 years,2018,5945
S08000016,Female,10-19 years,2019,5980
S08000016,Female,10-19 years,2020,5931
S08000016,Female,10-19 years,2021,5985
S08000016,Female,20-29 years,2017,5358
S08000016,Female,20-29 years,2018,5357
S08000016,Female,20-29 years,2019,5325
S08000016,Female,20-29 years,2020,5322
S08000016,Female,20-29 years,2021,5283
S08000016,Female,30-39 years,2017,5724
S08000016,Female,30-39 years,2018,5827
S08000016,Female,30-39 years,2019,5895
S08000016,Female,30-39 years,2020,5862
S08000016,Female,30-39 years,2021,5991
S08000016,Female,40-49 years,2017,7908
S08000016,Female,40-49 years,2018,7543
S08000016,Female,40-49 years,2019,7274
S08000016,Female,40-49 years,2020,7116
S08000016,Female,40-49 years,2021,6893
S08000016,Female,50-59 years,2017,9408
S08000016,Female,50-59 years,2018,9484
S08000016,Female,50-59 years,2019,9519
S08000016,Female,50-59 years,2020,9456
S08000016,Female,50-59 years,2021,9537
S08000016,Female,60-69 years,2017,8422
S08000016,Female,60-69 years,2018,8466
S08000016,Female,60-69 years,2019,8552
S08000016,Female,60-69 years,2020,8608
S08000016,Female,60-69 years,2021,8777
S08000016,Female,70-79 years,2017,6617
S08000016,Female,70-79 years,2018,6835
S08000016,Female,70-79 years,2019,7000
S08000016,Female,70-79 years,2020,7114
S08000016,Female,70-79 years,2021,7266
S08000016,Female,80-89 years,2017,3337
S08000016,Female,80-89 years,2018,3411
S08000016,Female,80-89 years,2019,3499
S08000016,Female,80-89 years,2020,3590
S08000016,Female,80-89 years,2021,3621
S08000016,Female,90 years and over,2017,746
S08000016,Female,90 years and over,2018,715
S08000016,Female,90 years and over,2019,723
S08000016,Female,90 years and over,2020,711
S08000016,Female,90 years and over,2021,724
S08000016,Female,All ages,2017,59231
S08000016,Female,All ages,2018,59281
S08000016,Female,All ages,2019,59387
S08000016,Female,All ages,2020,59188
S08000016,Female,All ages,2021,59486
S08000016,Male,0-9 years,2017,5945
S08000016,Male,0-9 years,2018,5993
S08000016,Male,0-9 years,2019,5928
S08000016,Male,0-9 years,2020,5873
S08000016,Male,0-9 years,2021,5769
S08000016,Male,10-19 years,2017,6105
S08000016,Male,10-19 years,2018,6095
S08000016,Male,10-19 years,2019,6074
S08000016,Male,10-19 years,2020,6081
S08000016,Male,10-19 years,2021,6238
S08000016,Male,20-29 years,2017,5364
S08000016,Male,20-29 years,2018,5374
S08000016,Male,20-29 years,2019,5418
S08000016,Male,20-29 years,2020,5383
S08000016,Male,20-29 years,2021,5454
S08000016,Male,30-39 years,2017,5143
S08000016,Male,30-39 years,2018,5280
S08000016,Male,30-39 years,2019,5278
S08000016,Male,30-39 years,2020,5206
S08000016,Male,30-39 years,2021,5249
S08000016,Male,40-49 years,2017,7188
S08000016,Male,40-49 years,2018,6817
S08000016,Male,40-49 years,2019,6542
S08000016,Male,40-49 years,2020,6386
S08000016,Male,40-49 years,2021,6255
S08000016,Male,50-59 years,2017,9103
S08000016,Male,50-59 years,2018,9215
S08000016,Male,50-59 years,2019,9242
S08000016,Male,50-59 years,2020,9161
S08000016,Male,50-59 years,2021,9145
S08000016,Male,60-69 years,2017,8218
S08000016,Male,60-69 years,2018,8151
S08000016,Male,60-69 years,2019,8256
S08000016,Male,60-69 years,2020,8309
S08000016,Male,60-69 years,2021,8509
S08000016,Male,70-79 years,2017,5978
S08000016,Male,70-79 years,2018,6248
S08000016,Male,70-79 years,2019,6465
S08000016,Male,70-79 years,2020,6633
S08000016,Male,70-79 years,2021,6851
S08000016,Male,80-89 years,2017,2433
S08000016,Male,80-89 years,2018,2507
S08000016,Male,80-89 years,2019,2593
S08000016,Male,80-89 years,2020,2678
S08000016,Male,80-89 years,2021,2667
S08000016,Male,90 years and over,2017,312
S08000016,Male,90 years and over,2018,309
S08000016,Male,90 years and over,2019,327
S08000016,Male,90 years and over,2020,342
S08000016,Male,90 years and over,2021,397
S08000016,Male,All ages,2017,55789
S08000016,Male,All ages,2018,55989
S08000016,Male,All ages,2019,56123
S08000016,Male,All ages,2020,56052
S08000016,Male,All ages,2021,56534
S08000017,All,0-9 years,2017,14330
S08000017,All,0-9 years,2018,14054
S08000017,All,0-9 years,2019,13780
S08000017,All,0-9 years,2020,13465
S08000017,All,0-9 years,2021,13187
S08000017,All,10-19 years,2017,15204
S08000017,All,10-19 years,2018,15104
S08000017,All,10-19 years,2019,15140
S08000017,All,10-19 years,2020,15227
S08000017,All,10-19 years,2021,15525
S08000017,All,20-29 years,2017,15147
S08000017,All,20-29 years,2018,14980
S08000017,All,20-29 years,2019,14928
S08000017,All,20-29 years,2020,14717
S08000017,All,20-29 years,2021,14615
S08000017,All,30-39 years,2017,14513
S08000017,All,30-39 years,2018,14773
S08000017,All,30-39 years,2019,14893
S08000017,All,30-39 years,2020,14922
S08000017,All,30-39 years,2021,15101
S08000017,All,40-49 years,2017,17902
S08000017,All,40-49 years,2018,17138
S08000017,All,40-49 years,2019,16440
S08000017,All,40-49 years,2020,15855
S08000017,All,40-49 years,2021,15494
S08000017,All,50-59 years,2017,23786
S08000017,All,50-59 years,2018,23828
S08000017,All,50-59 years,2019,23911
S08000017,All,50-59 years,2020,23717
S08000017,All,50-59 years,2021,23642
S08000017,All,60-69 years,2017,21867
S08000017,All,60-69 years,2018,21864
S08000017,All,60-69 years,2019,21950
S08000017,All,60-69 years,2020,22011
S08000017,All,60-69 years,2021,22381
S08000017,All,70-79 years,2017,16797
S08000017,All,70-79 years,2018,17345
S08000017,All,70-79 years,2019,17916
S08000017,All,70-79 years,2020,18317
S08000017,All,70-79 years,2021,18626
S08000017,All,80-89 years,2017,8162
S08000017,All,80-89 years,2018,8247
S08000017,All,80-89 years,2019,8390
S08000017,All,80-89 years,2020,8509
S08000017,All,80-89 years,2021,8621
S08000017,All,90 years and over,2017,1492
S08000017,All,90 years and over,2018,1457
S08000017,All,90 years and over,2019,1512
S08000017,All,90 years and over,2020,1550
S08000017,All,90 years and over,2021,1598
S08000017,All,All ages,2017,149200
S08000017,All,All ages,2018,148790
S08000017,All,All ages,2019,148860
S08000017,All,All ages,2020,148290
S08000017,All,All ages,2021,148790
S08000017,Female,0-9 years,2017,7052
S08000017,Female,0-9 years,2018,6911
S08000017,Female,0-9 years,2019,6758
S08000017,Female,0-9 years,2020,6554
S08000017,Female,0-9 years,2021,6394
S08000017,Female,10-19 years,2017,7306
S08000017,Female,10-19 years,2018,7276
S08000017,Female,10-19 years,2019,7350
S08000017,Female,10-19 years,2020,7413
S08000017,Female,10-19 years,2021,7607
S08000017,Female,20-29 years,2017,7518
S08000017,Female,20-29 years,2018,7376
S08000017,Female,20-29 years,2019,7285
S08000017,Female,20-29 years,2020,7165
S08000017,Female,20-29 years,2021,7111
S08000017,Female,30-39 years,2017,7580
S08000017,Female,30-39 years,2018,7718
S08000017,Female,30-39 years,2019,7733
S08000017,Female,30-39 years,2020,7756
S08000017,Female,30-39 years,2021,7817
S08000017,Female,40-49 years,2017,9415
S08000017,Female,40-49 years,2018,8981
S08000017,Female,40-49 years,2019,8623
S08000017,Female,40-49 years,2020,8361
S08000017,Female,40-49 years,2021,8161
S08000017,Female,50-59 years,2017,12262
S08000017,Female,50-59 years,2018,12335
S08000017,Female,50-59 years,2019,12446
S08000017,Female,50-59 years,2020,12357
S08000017,Female,50-59 years,2021,12388
S08000017,Female,60-69 years,2017,11128
S08000017,Female,60-69 years,2018,11138
S08000017,Female,60-69 years,2019,11216
S08000017,Female,60-69 years,2020,11239
S08000017,Female,60-69 years,2021,11458
S08000017,Female,70-79 years,2017,8807
S08000017,Female,70-79 years,2018,9097
S08000017,Female,70-79 years,2019,9304
S08000017,Female,70-79 years,2020,9508
S08000017,Female,70-79 years,2021,9656
S08000017,Female,80-89 years,2017,4706
S08000017,Female,80-89 years,2018,4662
S08000017,Female,80-89 years,2019,4709
S08000017,Female,80-89 years,2020,4741
S08000017,Female,80-89 years,2021,4791
S08000017,Female,90 years and over,2017,1002
S08000017,Female,90 years and over,2018,975
S08000017,Female,90 years and over,2019,1001
S08000017,Female,90 years and over,2020,1021
S08000017,Female,90 years and over,2021,1051
S08000017,Female,All ages,2017,76776
S08000017,Female,All ages,2018,76469
S08000017,Female,All ages,2019,76425
S08000017,Female,All ages,2020,76115
S08000017,Female,All ages,2021,76434
S08000017,Male,0-9 years,2017,7278
S08000017,Male,0-9 years,2018,7143
S08000017,Male,0-9 years,2019,7022
S08000017,Male,0-9 years,2020,6911
S08000017,Male,0-9 years,2021,6793
S08000017,Male,10-19 years,2017,7898
S08000017,Male,10-19 years,2018,7828
S08000017,Male,10-19 years,2019,7790
S08000017,Male,10-19 years,2020,7814
S08000017,Male,10-19 years,2021,7918
S08000017,Male,20-29 years,2017,7629
S08000017,Male,20-29 years,2018,7604
S08000017,Male,20-29 years,2019,7643
S08000017,Male,20-29 years,2020,7552
S08000017,Male,20-29 years,2021,7504
S08000017,Male,30-39 years,2017,6933
S08000017,Male,30-39 years,2018,7055
S08000017,Male,30-39 years,2019,7160
S08000017,Male,30-39 years,2020,7166
S08000017,Male,30-39 years,2021,7284
S08000017,Male,40-49 years,2017,8487
S08000017,Male,40-49 years,2018,8157
S08000017,Male,40-49 years,2019,7817
S08000017,Male,40-49 years,2020,7494
S08000017,Male,40-49 years,2021,7333
S08000017,Male,50-59 years,2017,11524
S08000017,Male,50-59 years,2018,11493
S08000017,Male,50-59 years,2019,11465
S08000017,Male,50-59 years,2020,11360
S08000017,Male,50-59 years,2021,11254
S08000017,Male,60-69 years,2017,10739
S08000017,Male,60-69 years,2018,10726
S08000017,Male,60-69 years,2019,10734
S08000017,Male,60-69 years,2020,10772
S08000017,Male,60-69 years,2021,10923
S08000017,Male,70-79 years,2017,7990
S08000017,Male,70-79 years,2018,8248
S08000017,Male,70-79 years,2019,8612
S08000017,Male,70-79 years,2020,8809
S08000017,Male,70-79 years,2021,8970
S08000017,Male,80-89 years,2017,3456
S08000017,Male,80-89 years,2018,3585
S08000017,Male,80-89 years,2019,3681
S08000017,Male,80-89 years,2020,3768
S08000017,Male,80-89 years,2021,3830
S08000017,Male,90 years and over,2017,490
S08000017,Male,90 years and over,2018,482
S08000017,Male,90 years and over,2019,511
S08000017,Male,90 years and over,2020,529
S08000017,Male,90 years and over,2021,547
S08000017,Male,All ages,2017,72424
S08000017,Male,All ages,2018,72321
S08000017,Male,All ages,2019,72435
S08000017,Male,All ages,2020,72175
S08000017,Male,All ages,2021,72356
S08000019,All,0-9 years,2017,32802
S08000019,All,0-9 years,2018,32265
S08000019,All,0-9 years,2019,31625
S08000019,All,0-9 years,2020,30960
S08000019,All,0-9 years,2021,30230
S08000019,All,10-19 years,2017,34242
S08000019,All,10-19 years,2018,34342
S08000019,All,10-19 years,2019,34444
S08000019,All,10-19 years,2020,34404
S08000019,All,10-19 years,2021,34503
S08000019,All,20-29 years,2017,38708
S08000019,All,20-29 years,2018,38467
S08000019,All,20-29 years,2019,38217
S08000019,All,20-29 years,2020,37768
S08000019,All,20-29 years,2021,36746
S08000019,All,30-39 years,2017,35921
S08000019,All,30-39 years,2018,36333
S08000019,All,30-39 years,2019,36602
S08000019,All,30-39 years,2020,36702
S08000019,All,30-39 years,2021,37399
S08000019,All,40-49 years,2017,42747
S08000019,All,40-49 years,2018,41606
S08000019,All,40-49 years,2019,40675
S08000019,All,40-49 years,2020,39697
S08000019,All,40-49 years,2021,38967
S08000019,All,50-59 years,2017,45571
S08000019,All,50-59 years,2018,46201
S08000019,All,50-59 years,2019,46776
S08000019,All,50-59 years,2020,46975
S08000019,All,50-59 years,2021,46982
S08000019,All,60-69 years,2017,35846
S08000019,All,60-69 years,2018,35880
S08000019,All,60-69 years,2019,36224
S08000019,All,60-69 years,2020,36552
S08000019,All,60-69 years,2021,37096
S08000019,All,70-79 years,2017,25737
S08000019,All,70-79 years,2018,26745
S08000019,All,70-79 years,2019,27347
S08000019,All,70-79 years,2020,28015
S08000019,All,70-79 years,2021,28682
S08000019,All,80-89 years,2017,11849
S08000019,All,80-89 years,2018,12083
S08000019,All,80-89 years,2019,12463
S08000019,All,80-89 years,2020,12576
S08000019,All,80-89 years,2021,12799
S08000019,All,90 years and over,2017,2157
S08000019,All,90 years and over,2018,2148
S08000019,All,90 years and over,2019,2267
S08000019,All,90 years and over,2020,2281
S08000019,All,90 years and over,2021,2306
S08000019,All,All ages,2017,305580
S08000019,All,All ages,2018,306070
S08000019,All,All ages,2019,306640
S08000019,All,All ages,2020,305930
S08000019,All,All ages,2021,305710
S08000019,Female,0-9 years,2017,15972
S08000019,Female,0-9 years,2018,15660
S08000019,Female,0-9 years,2019,15302
S08000019,Female,0-9 years,2020,14859
S08000019,Female,0-9 years,2021,14523
S08000019,Female,10-19 years,2017,16640
S08000019,Female,10-19 years,2018,16743
S08000019,Female,10-19 years,2019,16757
S08000019,Female,10-19 years,2020,16865
S08000019,Female,10-19 years,2021,16848
S08000019,Female,20-29 years,2017,19465
S08000019,Female,20-29 years,2018,19220
S08000019,Female,20-29 years,2019,18990
S08000019,Female,20-29 years,2020,18793
S08000019,Female,20-29 years,2021,18298
S08000019,Female,30-39 years,2017,18632
S08000019,Female,30-39 years,2018,18902
S08000019,Female,30-39 years,2019,18988
S08000019,Female,30-39 years,2020,19064
S08000019,Female,30-39 years,2021,19436
S08000019,Female,40-49 years,2017,22038
S08000019,Female,40-49 years,2018,21446
S08000019,Female,40-49 years,2019,21000
S08000019,Female,40-49 years,2020,20529
S08000019,Female,40-49 years,2021,20165
S08000019,Female,50-59 years,2017,23167
S08000019,Female,50-59 years,2018,23540
S08000019,Female,50-59 years,2019,23834
S08000019,Female,50-59 years,2020,24026
S08000019,Female,50-59 years,2021,24048
S08000019,Female,60-69 years,2017,18465
S08000019,Female,60-69 years,2018,18493
S08000019,Female,60-69 years,2019,18705
S08000019,Female,60-69 years,2020,18890
S08000019,Female,60-69 years,2021,19108
S08000019,Female,70-79 years,2017,13886
S08000019,Female,70-79 years,2018,14350
S08000019,Female,70-79 years,2019,14569
S08000019,Female,70-79 years,2020,14878
S08000019,Female,70-79 years,2021,15316
S08000019,Female,80-89 years,2017,6973
S08000019,Female,80-89 years,2018,7058
S08000019,Female,80-89 years,2019,7311
S08000019,Female,80-89 years,2020,7352
S08000019,Female,80-89 years,2021,7485
S08000019,Female,90 years and over,2017,1506
S08000019,Female,90 years and over,2018,1491
S08000019,Female,90 years and over,2019,1557
S08000019,Female,90 years and over,2020,1553
S08000019,Female,90 years and over,2021,1550
S08000019,Female,All ages,2017,156744
S08000019,Female,All ages,2018,156903
S08000019,Female,All ages,2019,157013
S08000019,Female,All ages,2020,156809
S08000019,Female,All ages,2021,156777
S08000019,Male,0-9 years,2017,16830
S08000019,Male,0-9 years,2018,16605
S08000019,Male,0-9 years,2019,16323
S08000019,Male,0-9 years,2020,16101
S08000019,Male,0-9 years,2021,15707
S08000019,Male,10-19 years,2017,17602
S08000019,Male,10-19 years,2018,17599
S08000019,Male,10-19 years,2019,17687
S08000019,Male,10-19 years,2020,17539
S08000019,Male,10-19 years,2021,17655
S08000019,Male,20-29 years,2017,19243
S08000019,Male,20-29 years,2018,19247
S08000019,Male,20-29 years,2019,19227
S08000019,Male,20-29 years,2020,18975
S08000019,Male,20-29 years,2021,18448
